feature,mean_abs_shap
pm25_mean_24h,7.920768943279791
pm2_5,4.9148682110854285
temperature_mean_24h,3.413757742305129
month_sin,1.9611548688937828
sulphur_dioxide,1.5367672228457798
aqi_std_72h,1.4318115828050337
humidity_mean_24h,1.2502519816206017
pm25_change_24h,1.2401758512798706
pm25_lag_6h,1.1996151942015152
wind_mean_24h,1.1001271332529527
wind_dir_sin,0.9939754894657504
dow_sin,0.9827037524934146
surface_pressure,0.9603212622808008
dust,0.9491147198523427
aqi_mean_24h,0.8364663867640928
month_cos,0.8119629396279366
aqi_mean_72h,0.6916956026539393
aqi_mean_12h,0.6903846672372184
wind_speed_10m,0.6543837292689854
cloud_cover,0.612312775394517
nitrogen_dioxide,0.5427919687116932
aqi_lag_72h,0.5338098528578268
hour_cos,0.46819021836470087
pm10,0.40324257956179294
aqi_lag_24h,0.3411676991483117
aqi_std_24h,0.27602709261653485
aqi_lag_12h,0.27576654243909904
aqi_lag_48h,0.2591796414065203
us_aqi,0.23993946990869588
relative_humidity_2m,0.23758203385939416
wind_dir_cos,0.23297063230313594
carbon_monoxide,0.22782690267298064
aqi_change_24h,0.22320236343521
temperature_2m,0.19146336345546736
ozone,0.1871536418378023
dow_cos,0.17843935861667704
pm25_lag_24h,0.12892991590297798
aqi_mean_6h,0.12241627111898491
wind_direction_10m,0.11697929878684457
precipitation,0.1066104025255914
hour_sin,0.0929559831168722
aqi_change_6h,0.09104996029222712
aqi_lag_6h,0.08492173998904798
aqi_mean_3h,0.071034708464828
aqi_lag_3h,0.048640440559818796
is_weekend,0.0
