feature,mean_abs_shap
temperature_mean_24h,10.728315616667269
pm25_mean_24h,9.411733569154205
aqi_mean_24h,6.8018867016400115
ozone,5.704208526628085
aqi_mean_72h,5.17998500690257
pm2_5,5.147763167351006
pm25_change_24h,4.643224706535871
humidity_mean_24h,4.342036164810171
aqi_mean_12h,3.9310263243387835
month_cos,3.7071639648756083
month_sin,3.6849187126162035
pm10,2.6526891575888545
aqi_lag_12h,2.194560403639279
hour_cos,2.063526181510002
wind_speed_10m,2.002323015471497
wind_dir_sin,1.9282068267454775
pm25_lag_24h,1.8416827264143012
cloud_cover,1.8148591572697246
wind_dir_cos,1.6130016809658079
relative_humidity_2m,1.5588141881208173
temperature_2m,1.5298470107412745
sulphur_dioxide,1.401291355898455
aqi_lag_72h,1.391597836190852
pm25_lag_6h,1.3511751835863697
aqi_lag_48h,1.198989826306319
aqi_std_72h,1.172708388212413
carbon_monoxide,1.0949011252600165
dow_sin,1.0940616949919586
wind_mean_24h,0.9765266218303146
dow_cos,0.8804680074771816
aqi_lag_3h,0.8119283100376878
aqi_mean_6h,0.6696637533481159
us_aqi,0.6145357230031311
is_weekend,0.6038137479814008
aqi_lag_24h,0.5931534986368483
aqi_lag_6h,0.5418326822003889
aqi_std_24h,0.4289056963525029
nitrogen_dioxide,0.42564004603915334
hour_sin,0.3031123121564116
dust,0.2746676064475636
surface_pressure,0.23773699608019158
wind_direction_10m,0.22460596031509225
aqi_change_6h,0.10128267520807523
precipitation,0.05170241731671852
aqi_change_24h,0.048223840843024515
aqi_mean_3h,0.0180359627805764
