feature,mean_abs_shap
aqi_mean_72h,6.548110651028903
pm25_mean_24h,5.391558782594974
pm25_change_24h,4.423913149897025
us_aqi,3.762689083487155
ozone,3.399823493432824
aqi_change_24h,3.3843886269761465
pm2_5,3.344024195613658
aqi_lag_6h,3.258389063777347
pm25_lag_6h,2.80306907121774
pm10,2.6488164722640266
aqi_mean_12h,2.3069231354717563
aqi_lag_48h,2.1431924632573573
temperature_mean_24h,2.1366117063884453
aqi_lag_24h,1.5925077723916539
wind_speed_10m,1.5639535317830662
nitrogen_dioxide,1.3470147674096156
aqi_mean_3h,1.3294899593043314
cloud_cover,1.1151231905415653
aqi_lag_12h,1.0552063330668755
aqi_mean_6h,0.8652632698995057
dust,0.7845471881253577
hour_cos,0.7747521664828789
aqi_lag_3h,0.748153013554234
aqi_change_6h,0.720410850161853
wind_mean_24h,0.7022531372705724
temperature_2m,0.692911274760755
aqi_mean_24h,0.6031728263518215
month_sin,0.5853088645633556
humidity_mean_24h,0.5808487433387892
hour_sin,0.4445594641706736
wind_dir_cos,0.4438315337426006
relative_humidity_2m,0.41393912787498804
wind_dir_sin,0.3664094841793764
carbon_monoxide,0.35614817096380014
sulphur_dioxide,0.2833619791336657
aqi_std_72h,0.2690652395201947
aqi_lag_72h,0.2626377910263189
pm25_lag_24h,0.2617537978888928
dow_cos,0.18904239149192759
dow_sin,0.16917490852572
is_weekend,0.13436375869495992
aqi_std_24h,0.11078241529520647
surface_pressure,0.09937437377411687
month_cos,0.07761309910608222
precipitation,0.03340470320231076
wind_direction_10m,0.0059432533746772735
