feature,mean_abs_shap
pm25_mean_24h,13.953168095022596
pm2_5,3.9067254132082208
us_aqi,3.4892390323412656
pm25_change_24h,2.042883160421801
pm25_lag_6h,1.7875901136852181
sulphur_dioxide,1.1760386324397405
wind_speed_10m,0.5621995196408387
wind_mean_24h,0.5418996300147291
aqi_std_72h,0.5368581292011961
wind_dir_sin,0.4428180082487391
aqi_mean_24h,0.44161659700570355
ozone,0.4028384275709817
temperature_mean_24h,0.3775833545157039
hour_sin,0.3405099210746511
wind_dir_cos,0.31800049383393103
hour_cos,0.30572607467168234
surface_pressure,0.3043281185019845
cloud_cover,0.29028536602162897
dow_sin,0.2854038840494804
month_sin,0.26401338929120954
humidity_mean_24h,0.2552531779094414
aqi_lag_24h,0.25215715147541745
dust,0.2200746206421022
aqi_std_24h,0.18805821093993833
relative_humidity_2m,0.17755746693054472
month_cos,0.16637836847612472
aqi_mean_12h,0.1516611162115464
aqi_lag_72h,0.14908581955844968
aqi_mean_72h,0.14266529406560946
aqi_lag_48h,0.13066749009556364
nitrogen_dioxide,0.12786359620652998
pm10,0.09906868641622729
aqi_change_24h,0.07548597085815616
carbon_monoxide,0.07257405475196384
wind_direction_10m,0.06806568424217273
pm25_lag_24h,0.060705695726740616
aqi_lag_12h,0.05713343709188971
aqi_lag_6h,0.047555775329328115
temperature_2m,0.04302615854530762
aqi_lag_3h,0.04050787432604764
aqi_change_6h,0.039646576535093854
aqi_mean_3h,0.03153492212563963
aqi_mean_6h,0.031256144081448896
precipitation,0.020353124197915688
dow_cos,0.019937517476677158
is_weekend,0.0
