feature,mean_abs_shap
pm25_mean_24h,6.5850040035938795
temperature_mean_24h,4.627504298786405
month_sin,2.9829192472248893
pm2_5,2.358763563925616
month_cos,2.191699484848151
surface_pressure,2.04625603521109
humidity_mean_24h,1.8845841224584006
wind_mean_24h,1.6150573154914043
dust,1.5352632343644554
sulphur_dioxide,1.5075003605397912
aqi_std_72h,1.460680698276546
aqi_mean_72h,0.971982457909265
aqi_lag_72h,0.9558060979858557
aqi_std_24h,0.7928749488056752
pm25_change_24h,0.7072205914037462
pm10,0.6941888046319272
dow_sin,0.5811414398657334
dow_cos,0.565323490761422
pm25_lag_6h,0.5466945994291476
cloud_cover,0.48360086311869543
aqi_mean_24h,0.474090016011095
aqi_lag_48h,0.4457335835475741
wind_dir_sin,0.3596139395123684
carbon_monoxide,0.28736968340743135
us_aqi,0.28510691846513614
aqi_lag_24h,0.26361879969369123
ozone,0.21704538685109448
temperature_2m,0.19167775699913442
aqi_change_24h,0.1909442438776465
aqi_mean_12h,0.18953876011054546
wind_speed_10m,0.1746693930757337
aqi_lag_12h,0.15240174596240577
aqi_mean_6h,0.1195557883068998
hour_cos,0.11705862171617375
wind_dir_cos,0.10372274815858992
nitrogen_dioxide,0.09617516982052923
aqi_mean_3h,0.08588760618373457
aqi_change_6h,0.08285352474108812
precipitation,0.07251051742550393
relative_humidity_2m,0.07157665885932125
wind_direction_10m,0.06309465488871249
aqi_lag_6h,0.057654083512809776
hour_sin,0.056589645195126256
pm25_lag_24h,0.035370880434238965
aqi_lag_3h,0.02344060839059733
is_weekend,0.008637179922717451
